person_id,name,country,num_issues,issues,total_citations
borges,Jorge Borges,Argentina,4,"['issue_1', 'issue_2', 'issue_3', 'issue_4-5']",125
gustave_flaubert,Gustave Flaubert,France,3,"['issue_1', 'issue_3', 'issue_4-5']",69
jesus,de Nazaret Jesús,Imperio Romano,4,"['issue_1', 'issue_2', 'issue_3', 'issue_6']",68
jean_paul_sartre,Jean-Paul Sartre,France,4,"['issue_1', 'issue_3', 'issue_4-5', 'issue_6']",63
rabelais,François Rabelais,France,2,"['issue_1', 'issue_4-5']",58
osvaldo_rossler,Osvaldo Rossler,,2,"['issue_2', 'issue_3']",56
ruben_dario,Rubén Darío,Nicaragua,3,"['issue_1', 'issue_3', 'issue_4-5']",55
emile_zola,Émile Zola,France,3,"['issue_1', 'issue_3', 'issue_4-5']",49
macedonio_fernandez,Macedonio Fernández,Argentina,3,"['issue_1', 'issue_3', 'issue_4-5']",46
david_vinias,David Viñas,Argentina,3,"['issue_3', 'issue_4-5', 'issue_6']",43
leopoldo_lugones,Leopoldo Lugones,Argentina,4,"['issue_1', 'issue_2', 'issue_3', 'issue_4-5']",37
joseph_conrad,Joseph Conrad,Imperio Ruso,3,"['issue_1', 'issue_2', 'issue_3']",36
roberto_arlt,Roberto Arlt,Argentina,3,"['issue_2', 'issue_3', 'issue_4-5']",35
james_joyce,James Joyce,Ireland,4,"['issue_1', 'issue_2', 'issue_3', 'issue_4-5']",34
silvina_ocampo,Silvina Ocampo,Argentina,2,"['issue_1', 'issue_2']",32
felisberto_hernandez,Felisberto Hernández,Uruguay,2,"['issue_1', 'issue_4-5']",31
luis_gusman,Luis Gusmán,Argentina,3,"['issue_1', 'issue_3', 'issue_4-5']",27
friedrich_nietzsche,Friedrich Nietzsche,Germany,4,"['issue_1', 'issue_2', 'issue_3', 'issue_4-5']",24
kafka,Franz Kafka,Czech Republic,4,"['issue_1', 'issue_2', 'issue_3', 'issue_4-5']",23
jose_marmol,José Mármol,Argentina,2,"['issue_3', 'issue_4-5']",22
roland_barthes,Roland Barthes,France,4,"['issue_1', 'issue_2', 'issue_3', 'issue_4-5']",21
martinez_estrada,Ezequiel Martínez Estrada,Argentina,3,"['issue_2', 'issue_3', 'issue_4-5']",20
sarmiento,Domingo Faustino Sarmiento,Argentina,3,"['issue_2', 'issue_3', 'issue_4-5']",20
balzac,Honoré Balzac,France,3,"['issue_1', 'issue_4-5', 'issue_6']",18
juan_manuel_rosas,Juan Manuel de Rosas,Argentina,2,"['issue_3', 'issue_4-5']",18
