bibl_id,title,author_name,author_ref,date_year,level,lang,citation_count
revista_sitio,Sitio,,,1981,j,,70
gombrowicz_ferdydurke,Ferdydurke,"Gombrowicz, Witold",witold_gombrowicz,1937,m,,33
puig_traicion,La traición de Rita Hayworth,"Puig, Manuel",manuel_puig,1968,m,,27
bloy_salvacion,Le Salut par les Juifs,"Bloy, Léon",leon_bloy,1892,m,fr,23
cervantes_quijote,El ingenioso hidalgo don Quijote de la Mancha,"Cervantes, Miguel de",cervantes,1605,m,,22
marmol_amalia,Amalia,"Mármol, José",jose_marmol,1855,m,,20
joyce_ulises,Ulysses,"Joyce, James",james_joyce,1922,m,en,18
diario_clarin,Clarín,,,1945,j,,17
hernandez_menos_julia,Menos Julia,"Hernández, Felisberto",felisberto_hernandez,1947,m,,16
zola_argent,L'Argent,"Zola, Émile",emile_zola,1891,m,fr,15
cabrera_infante_habana,La Habana para un infante difunto,"Cabrera Infante, Guillermo",cabrera_infante,1979,m,,14
dario_prosas_profanas,Prosas profanas y otros poemas,"Darío, Rubén",ruben_dario,1896,m,,14
puig_maldicion,Maldición eterna a quien lea estas páginas,"Puig, Manuel",manuel_puig,1980,m,,14
drumont_france,La France juive,"Drumont, Édouard",edouard_drumont,1886,m,fr,13
rossler_cambalache,rossler_cambalache,,,,,,13
borges_lopezyward,Juan López y John Ward,"Borges, Jorge Luis",borges,1982,a,,13
hernandez_hortensias,Las hortensias,"Hernández, Felisberto",felisberto_hernandez,1949,m,,13
wilcock_caos,El caos,"Wilcock, Rodolfo",rodolfo_wilcock,1974,m,,12
gusman_corazon_junio,En el corazón de junio,"Gusmán, Luis",luis_gusman,1983,m,,11
diario_la_nacion,La Nación,,,1870,j,,10
joyce_finnegans,Finnegans Wake,"Joyce, James",james_joyce,1939,m,,10
sartre_idiota,El idiota de la familia,"Sartre, Jean-Paul",jean_paul_sartre,1971,m,,9
bloy_desesperado,Le Désespéré,"Bloy, Léon",leon_bloy,1887,m,fr,7
evangelio_san_juan,Evangelio según San Juan,Juan el Evangelista,san_juan_persona,,m,,7
los_miserables,Los Miserables,"Hugo, Victor",victor_hugo,1862,m,,7
revista_temps_modernes,Les Temps Modernes,,,1945,j,,7
flaubert_salambo,Salammbô,"Flaubert, Gustave",gustave_flaubert,1862,m,,7
codigo_justicia_militar,Código de Justicia Militar,Estado Argentino,,1951,m,,7
odisea,Odisea,Homero,homero,-725,m,,6
revista_sur,Sur,,,1931,j,,6
kant_critica,Crítica de la razón pura,"Kant, Immanuel",kant,1781,m,,6
plauto_miles_gloriosus,Miles Gloriosus,"Plauto, Tito Maccio",plauto,,m,,6
revista_christian_science,The Christian Science Monitor,,,1908,j,,6
araucana,La Araucana,"Ercilla, Alonso de",alonso_de_ercilla,1569,m,,6
remarque_novedad_frente,Sin novedad en el frente,"Remarque, Erich Maria",erich_maria_remarque,1929,m,,6
celine_viaje_noche,Viaje al fin de la noche,"Céline, Louis-Ferdinand",louis_ferdinand_celine,1932,m,,6
faulkner_invictos,Los invictos,"Faulkner, William",william_faulkner,1938,m,,6
tolstoi_guerra_paz,Guerra y paz,"Tolstói, Lev",lev_tolstoi,1869,m,,6
heller_trampa22,Trampa 22,"Heller, Joseph",joseph_heller,1961,m,,6
marechal_adan,Adán Buenosayres,"Marechal, Leopoldo",leopoldo_marechal,1948,m,,6
bunyan_pilgrim,The Pilgrim's Progress,"Bunyan, John",john_bunyan,1678,m,,6
ulla_urdimbre,La urdimbre,"Ulla, Noemí",noemi_ulla,1982,m,,6
angelino_recordando,Recordando en el viento,"Angelino, Diego",diego_angelino,1983,m,,6
hernandez_acomodador,El acomodador,Felisberto Hernández,felisberto_hernandez,1947,a,,6
puig_beso,El beso de la mujer araña,"Puig, Manuel",manuel_puig,1976,m,,6
martel_bolsa,La Bolsa,"Martel, Julián",julian_martel,1891,m,,5
diario_libre_parole,La Libre Parole,,,1892,j,,5
scott_ivanhoe,Ivanhoe,"Scott, Walter",walter_scott,1820,m,,5
comedia_humana,La Comedia Humana,"Balzac, Honoré de",balzac,1829,m,,5
antologia_lit_fant,Antología de la literatura fantástica,,,1940,m,,5
walser_ayudante,El ayudante,"Walser, Robert",robert_walser,1908,m,,5
walser_von_gunten,Jakob von Gunten,"Walser, Robert",robert_walser,1909,m,,5
revista_temps_modernes_420_421,"Argentine, entre populisme et militarisme",,,1981,m,,5
revista_contorno,Contorno,,,1953,j,,5
dumas_montevideo,Montevideo o la Nueva Troya,"Dumas, Alexandre",alejandro_dumas,1850,m,,5
revista_la_ley,La Ley,,,1935,j,,5
revista_poetique,Poétique,,,1970,j,fr,4
mont_oriol,Mont-Oriol,"Maupassant, Guy de",maupassant,1887,m,fr,4
epistola_romanos,Epístola a los Romanos,Pablo de Tarso,san_pablo_persona,,m,,4
conrad_corazon_tinieblas,Heart of Darkness,"Conrad, Joseph",joseph_conrad,1899,m,en,4
diario_portenio,El Porteño,,,1982,j,,4
aimard_rosas,Rosas,"Aimard, Gustave",gustave_aimard,1867,m,,4
sarmiento_facundo,Facundo: Civilización y Barbarie,"Sarmiento, Domingo Faustino",sarmiento,1845,m,,4
revista_pie_de_pagina,Pie de página,,,1982,j,,4
melville_moby_dick,Moby-Dick,"Melville, Herman",melville,1851,m,,4
dabove_ser_polvo,Ser polvo,Santiago Dabove,santiago_dabove,1945,m,,4
hernandez_obras_completas,Obras completas,"Hernández, Felisberto",felisberto_hernandez,1983,m,,4
rabelais_gargantua_pantagruel,Gargantúa y Pantagruel,"Rabelais, François",rabelais,1532,m,fr,3
cronicas_gargantua,cronicas_gargantua,,,,,,3
barthes_sz,S/Z,"Barthes, Roland",roland_barthes,1970,m,fr,3
protocolos_sion,Protocolos de los Sabios de Sión,,,1903,m,,3
grandeza_miseria_cortesanas,Esplendores y miserias de las cortesanas,"Balzac, Honoré de",balzac,1838,m,,3
zola_notas_manuscritas,Notas Manuscritas (Dossiers préparatoires),"Zola, Émile",emile_zola,1890,m,,3
borges_pierre_menard,"Pierre Menard, autor del Quijote","Borges, Jorge Luis",borges,1939,a,,3
ocampo_la_furia,La furia,"Ocampo, Silvina",silvina_ocampo,1959,m,,3
barthes_plaisir_texte,Le Plaisir du texte,"Barthes, Roland",roland_barthes,1973,m,fr,3
joyce_dublinenses,Dublinenses,"Joyce, James",james_joyce,1914,m,,3
ocampo_archipielago,El archipiélago,"Ocampo, Victoria",victoria_ocampo,1979,m,,3
revista_humor,Humor Registrado,,,1978,j,,3
cortazar_rayuela,Rayuela,"Cortázar, Julio",julio_cortazar,1963,m,,3
moyano_navios,Libro de navíos y borrascas,"Moyano, Daniel",daniel_moyano,1983,m,,3
moyano_vuelo_tigre,El vuelo del tigre,"Moyano, Daniel",daniel_moyano,1981,m,,3
west_proteo,Proteo,"West, Morris",morris_west,1979,m,,3
hernandez_martin_fierro,El Gaucho Martín Fierro,"Hernández, José",jose_hernandez,1872,m,,3
lins_avalovara,Avalovara,"Lins, Osman",osman_lins,1973,m,,3
flaubert_corazon_simple,Un corazón simple,"Flaubert, Gustave",gustave_flaubert,1877,m,,3
soriano_cuarteles,Cuarteles de invierno,"Soriano, Osvaldo",osvaldo_soriano,1980,m,,3
aries_muerte,La muerte en Occidente,"Ariès, Philippe",philippe_aries,1975,m,,3
correas_reportajes,Los reportajes de Félix Chaneton,"Correas, Carlos",carlos_correas,1984,m,,3
codigo_penal,Código Penal de la Nación Argentina,Estado Argentino,,1921,m,,3
montesquieu_espiritu_leyes,El espíritu de las leyes,Montesquieu,montesquieu,1748,m,fr,2
garcia_marquez_cien_anios,Cien años de soledad,"García Márquez, Gabriel",garcia_marquez,1967,m,,2
revista_tel_quel,Tel Quel,,,1960,j,fr,2
libro_kahal,Kniga Kahala,"Brafman, Jacob",jacob_brafman,1869,m,ru,2
wast_oro,Oro,"Wast, Hugo",hugo_wast,1935,m,,2
wast_kahal,El Kahal,"Wast, Hugo",hugo_wast,1935,m,,2
gerchunoff_gauchos_judios,Los gauchos judíos,"Gerchunoff, Alberto",alberto_gerchunoff,1910,m,,2
