author_id,author_name,total_citations,unique_citations,top_region,top_period,pct_western_europe,pct_latin_america
jorge_jinkis,Jorge Jinkis,274,116,Latin America,World Wars Era,15.0,69.3
eduardo_gruner,Eduardo Grüner,661,241,Western Europe,Long 19th Century,52.6,28.6
luis_gusman,Luis Gusmán,419,176,Latin America,Long 19th Century,32.7,48.4
leo_strauss,Leo Strauss,65,44,Western Europe,Early Modern,58.5,3.1
mario_levin,Mario Levin,33,29,Latin America,World Wars Era,30.3,36.4
pascal_bonitzer,Pascal Bonitzer,37,22,Western Europe,World Wars Era,89.2,0.0
ana_barrenechea,Ana Barrenechea,18,11,Latin America,Long 19th Century,38.9,55.6
witold_gombrowicz,Witold Gombrowicz,5,5,Latin America,Long 19th Century,0.0,80.0
luis_thonis,Luis Thonis,65,24,Latin America,Long 19th Century,23.1,61.5
ramon_alcalde,Ramón Alcalde,693,251,Western Europe,Revolutionary Era,52.2,30.3
leon_bloy,Léon Bloy,76,19,Other/Unknown,Hellenistic/Roman,17.1,0.0
emile_zola,Émile Zola,7,7,Western Europe,Revolutionary Era,57.1,14.3
luis_chitarroni,Luis Chitarroni,154,75,Latin America,World Wars Era,27.9,56.5
enrique_pezzoni,Enrique Pezzoni,57,13,Latin America,Long 19th Century,14.0,80.7
sylvia_molloy,Sylvia Molloy,60,15,Other/Unknown,Long 19th Century,18.3,8.3
antoine_berman,Antoine Berman,46,29,Western Europe,Long 19th Century,87.0,0.0
leonora_carrington,Leonora Carrington,41,13,Western Europe,Long 19th Century,92.7,7.3
hector_grisafi,Héctor Grisafi,42,24,Other/Unknown,Long 19th Century,14.3,28.6
hugo_savino,Hugo Savino,78,43,Latin America,World Wars Era,24.4,37.2
jose_salas_subirat,José Salas Subirat,50,25,Western Europe,Long 19th Century,66.0,12.0
alicia_gutierrez_reto,Alicia Gutiérrez Reto,3,2,Western Europe,Revolutionary Era,66.7,33.3
delia_pasini,Delia Pasini,1,1,Latin America,Contemporary,0.0,100.0
beatriz_castillo,Beatriz Castillo,25,13,Western Europe,World Wars Era,56.0,28.0
liliana_heer,Liliana Heer,9,7,Latin America,World Wars Era,33.3,44.4
haroldo_campos,Haroldo de Campos,1,1,Western Europe,Early Modern,100.0,0.0
nestor_perlongher,Néstor Perlongher,11,9,Latin America,Contemporary,18.2,72.7
norma_gentili,norma_gentili,6,3,Latin America,Long 19th Century,16.7,83.3
jorge_monteleone,Jorge Monteleone,182,51,Latin America,Long 19th Century,22.0,60.4
mercedes_roffe,Mercedes Roffé,56,18,Western Europe,Revolutionary Era,64.3,0.0
martin_heidegger,Martin Heidegger,46,7,Western Europe,Long 19th Century,89.1,0.0
osvaldo_lamborghini,Osvaldo Lamborghini,1,1,Other/Unknown,Unknown,0.0,0.0
juan_bautista_ritvo,Juan Bautista Ritvo,52,33,Western Europe,Long 19th Century,51.9,28.8
maurice_blanchot,Maurice Blanchot,6,4,Western Europe,Long 19th Century,100.0,0.0
santiago_bullrich,Santiago Bullrich,18,6,Western Europe,Revolutionary Era,88.9,0.0
raul_zoppi,Raul Zoppi,44,3,Latin America,Long 19th Century,0.0,100.0
jorge_panesi,Jorge Panesi,17,6,Latin America,World Wars Era,0.0,82.4
