source_id,source_name,target_id,target_name,weight
jorge_jinkis,Jorge Jinkis,samuel_beckett,Samuel Beckett,1
jorge_jinkis,Jorge Jinkis,leo_strauss,Leo Strauss,1
jorge_jinkis,Jorge Jinkis,ernest_renan,Joseph Renan,1
jorge_jinkis,Jorge Jinkis,leon_bloy,Léon Bloy,1
jorge_jinkis,Jorge Jinkis,martin_lutero,Martín Lutero,1
jorge_jinkis,Jorge Jinkis,leopoldo_lugones,Leopoldo Lugones,3
jorge_jinkis,Jorge Jinkis,paul_valery,Ambroise Valéry,1
jorge_jinkis,Jorge Jinkis,kant,Immanuel Kant,1
jorge_jinkis,Jorge Jinkis,ronald_reagan,Ronald Reagan,2
jorge_jinkis,Jorge Jinkis,paul_groussac,Paul Groussac,1
jorge_jinkis,Jorge Jinkis,alfredo_palacios,Alfredo Palacios,5
jorge_jinkis,Jorge Jinkis,juan_domingo_peron,Juan Domingo Perón,5
jorge_jinkis,Jorge Jinkis,costa_mendez,Nicanor Costa Méndez,1
jorge_jinkis,Jorge Jinkis,benjamin_menendez,Mario Benjamín Menéndez,1
jorge_jinkis,Jorge Jinkis,juan_pablo_ii,Juan Pablo II Wojtyła,1
jorge_jinkis,Jorge Jinkis,bernardo_neustadt,Bernardo Neustadt,2
jorge_jinkis,Jorge Jinkis,leonidas,Leónidas I,1
jorge_jinkis,Jorge Jinkis,osvaldo_rossler,Osvaldo Rossler,9
jorge_jinkis,Jorge Jinkis,borges,Jorge Borges,12
jorge_jinkis,Jorge Jinkis,martinez_estrada,Ezequiel Martínez Estrada,2
jorge_jinkis,Jorge Jinkis,friedrich_nietzsche,Friedrich Nietzsche,3
jorge_jinkis,Jorge Jinkis,julio_cortazar,Julio Cortázar,2
jorge_jinkis,Jorge Jinkis,san_martin,José de San Martín,1
jorge_jinkis,Jorge Jinkis,napoleon,Napoléon Bonaparte,1
jorge_jinkis,Jorge Jinkis,enrique_santos_discepolo,Enrique Santos Discépolo,4
jorge_jinkis,Jorge Jinkis,joseph_conrad,Joseph Conrad,5
jorge_jinkis,Jorge Jinkis,aristoteles,Aristóteles,1
jorge_jinkis,Jorge Jinkis,nicomaco,Nicómaco,1
jorge_jinkis,Jorge Jinkis,rafael_alberto_arrieta,Rafael Alberto Arrieta,1
jorge_jinkis,Jorge Jinkis,pedro_abelardo,Pedro Abelardo,1
jorge_jinkis,Jorge Jinkis,eloisa,Eloísa,1
jorge_jinkis,Jorge Jinkis,ricardo_piglia,Ricardo Piglia,6
jorge_jinkis,Jorge Jinkis,roberto_arlt,Roberto Arlt,6
jorge_jinkis,Jorge Jinkis,freud,Sigmund Freud,5
jorge_jinkis,Jorge Jinkis,witold_gombrowicz,Witold Gombrowicz,1
jorge_jinkis,Jorge Jinkis,holderlin,Johann Hölderlin,1
jorge_jinkis,Jorge Jinkis,martin_heidegger,Martin Heidegger,1
jorge_jinkis,Jorge Jinkis,maurice_blanchot,Maurice Blanchot,1
jorge_jinkis,Jorge Jinkis,socrates,Sócrates,1
jorge_jinkis,Jorge Jinkis,arturo_frondizi,Arturo Frondizi,2
jorge_jinkis,Jorge Jinkis,hector_campora,Héctor Cámpora,2
jorge_jinkis,Jorge Jinkis,raul_alfonsin,Raúl Alfonsín,6
jorge_jinkis,Jorge Jinkis,albino_gomez,Albino Gómez,1
jorge_jinkis,Jorge Jinkis,mario_benedetti,Mario Benedetti,6
jorge_jinkis,Jorge Jinkis,leon_rozitchner,León Rozitchner,13
jorge_jinkis,Jorge Jinkis,luis_gregorich,Luis Gregorich,7
jorge_jinkis,Jorge Jinkis,carl_jung,Carl Gustav Jung,1
jorge_jinkis,Jorge Jinkis,simone_beauvoir,Simone de Beauvoir,1
jorge_jinkis,Jorge Jinkis,juan_jose_sebreli,Juan José Sebreli,11
jorge_jinkis,Jorge Jinkis,horacio_verbitsky,Horacio Verbitsky,1
jorge_jinkis,Jorge Jinkis,david_vinias,David Viñas,20
jorge_jinkis,Jorge Jinkis,hector_murena,Héctor Murena,2
jorge_jinkis,Jorge Jinkis,jose_isaacson,José Isaacson,1
jorge_jinkis,Jorge Jinkis,jorge_manrique,Jorge Manrique,1
jorge_jinkis,Jorge Jinkis,cervantes,Miguel Cervantes,1
jorge_jinkis,Jorge Jinkis,jean_paul_sartre,Jean-Paul Sartre,5
jorge_jinkis,Jorge Jinkis,cesar_fernandez_moreno,César Fernández Moreno,2
jorge_jinkis,Jorge Jinkis,che_guevara,Ernesto Guevara,3
jorge_jinkis,Jorge Jinkis,ernesto_sabato,Ernesto Sabato,3
jorge_jinkis,Jorge Jinkis,carlos_puebla,Carlos Puebla,1
jorge_jinkis,Jorge Jinkis,jorge_asis,Jorge Asís,1
jorge_jinkis,Jorge Jinkis,nestor_perlongher,Néstor Perlongher,23
jorge_jinkis,Jorge Jinkis,alfonsina_storni,Alfonsina Storni,1
jorge_jinkis,Jorge Jinkis,goethe,Johann Goethe,1
jorge_jinkis,Jorge Jinkis,gongora,Luis de Góngora y Argote,1
jorge_jinkis,Jorge Jinkis,abelardo_castillo,Abelardo Castillo,1
jorge_jinkis,Jorge Jinkis,oswald_spengler,Oswald Spengler,1
jorge_jinkis,Jorge Jinkis,federico_sainz_de_robles,Federico Carlos Sainz de Robles,1
jorge_jinkis,Jorge Jinkis,esteban_echeverria,Esteban Echeverría,1
jorge_jinkis,Jorge Jinkis,sarmiento,Domingo Faustino Sarmiento,2
jorge_jinkis,Jorge Jinkis,juan_bautista_alberdi,Juan Bautista Alberdi,1
jorge_jinkis,Jorge Jinkis,manuel_galvez,Manuel Gálvez,1
jorge_jinkis,Jorge Jinkis,canal_feijoo,Bernardo Canal Feijóo,1
jorge_jinkis,Jorge Jinkis,carlos_astrada,Carlos Astrada,1
jorge_jinkis,Jorge Jinkis,jose_luis_romero,José Luis Romero,1
jorge_jinkis,Jorge Jinkis,luis_franco,Luis Franco,1
jorge_jinkis,Jorge Jinkis,raul_scalabrini_ortiz,Raúl Scalabrini Ortiz,1
jorge_jinkis,Jorge Jinkis,arturo_jauretche,Arturo Jauretche,1
jorge_jinkis,Jorge Jinkis,oscar_masotta,Óscar Masotta,1
jorge_jinkis,Jorge Jinkis,leonardo_castellani,Leonardo Castellani,1
jorge_jinkis,Jorge Jinkis,ignacio_anzoategui,Ignacio Anzoátegui,1
jorge_jinkis,Jorge Jinkis,juan_jose_hernandez_arregui,Juan José Hernández Arregui,1
jorge_jinkis,Jorge Jinkis,abelardo_ramos,Jorge Abelardo Ramos,1
jorge_jinkis,Jorge Jinkis,milciades_penia,Milcíades Peña,1
jorge_jinkis,Jorge Jinkis,jaime_rest,Jaime Rest,1
jorge_jinkis,Jorge Jinkis,pierre_chaunu,Pierre Chaunu,1
jorge_jinkis,Jorge Jinkis,san_agustin,de Hipona Agustín,1
jorge_jinkis,Jorge Jinkis,jean_yves_calvez,Jean-Yves Calvez,1
jorge_jinkis,Jorge Jinkis,levi_strauss,Claude Lévi-Strauss,1
jorge_jinkis,Jorge Jinkis,angel_rama,Ángel Rama,1
jorge_jinkis,Jorge Jinkis,louis_althusser,Louis Althusser,1
jorge_jinkis,Jorge Jinkis,roland_barthes,Roland Barthes,1
jorge_jinkis,Jorge Jinkis,jacques_derrida,Jacques Derrida,1
jorge_jinkis,Jorge Jinkis,julia_kristeva,Julia Kristeva,1
jorge_jinkis,Jorge Jinkis,spinoza,Baruch Spinoza,3
jorge_jinkis,Jorge Jinkis,fiodor_dostoyevski,Fiódor Dostoyevski,1
jorge_jinkis,Jorge Jinkis,platon,Platón,1
jorge_jinkis,Jorge Jinkis,cesar_jaroslavsky,César Jaroslavsky,1
jorge_jinkis,Jorge Jinkis,juan_octavio_gauna,Juan Octavio Gauna,2
jorge_jinkis,Jorge Jinkis,jose_severo_caballero,José Severo Caballero,1
jorge_jinkis,Jorge Jinkis,augusto_belluscio,Augusto César Belluscio,1
jorge_jinkis,Jorge Jinkis,carlos_fayt,Carlos Santiago Fayt,1
jorge_jinkis,Jorge Jinkis,enrique_petracchi,Enrique Santiago Petracchi,1
jorge_jinkis,Jorge Jinkis,norberto_cozzani,Norberto Ricardo Cozzani,1
jorge_jinkis,Jorge Jinkis,jorge_antonio_berges,Jorge Antonio Bergés,1
jorge_jinkis,Jorge Jinkis,jorge_bacque,Jorge Antonio Bacqué,1
jorge_jinkis,Jorge Jinkis,oscar_igounet_hijo,Oscar Igounet,1
jorge_jinkis,Jorge Jinkis,oscar_igounet_padre,Oscar Pablo Igounet,1
jorge_jinkis,Jorge Jinkis,jose_rivanera,José Nicolás Rivanera,2
jorge_jinkis,Jorge Jinkis,balzac,Honoré Balzac,1
jorge_jinkis,Jorge Jinkis,alfredo_astiz,Alfredo Ignacio Astiz,1
jorge_jinkis,Jorge Jinkis,reynaldo_bignone,Reynaldo Benito Antonio Bignone,1
jorge_jinkis,Jorge Jinkis,julio_martinez_vivot,Julio César Martínez Vivot,1
jorge_jinkis,Jorge Jinkis,raul_borras,Raúl Andrés Borrás,1
jorge_jinkis,Jorge Jinkis,osvaldo_bayer,Osvaldo Jorge Bayer,1
jorge_jinkis,Jorge Jinkis,horacio_gonzalez,Horacio Luis González,7
leo_strauss,Leo Strauss,jorge_jinkis,Jorge Jinkis,1
leo_strauss,Leo Strauss,borges,Jorge Borges,1
leo_strauss,Leo Strauss,john_donne,John Donne,1
leo_strauss,Leo Strauss,spinoza,Baruch Spinoza,2
leo_strauss,Leo Strauss,maquiavelo,Niccolò Machiavelli,1
leo_strauss,Leo Strauss,tucidides,Tucídides,1
leo_strauss,Leo Strauss,aristoteles,Aristóteles,4
leo_strauss,Leo Strauss,platon,Platón,4
leo_strauss,Leo Strauss,thomas_hobbes,Thomas Hobbes,5
leo_strauss,Leo Strauss,socrates,Sócrates,4
leo_strauss,Leo Strauss,hilail_gildin,Hilail Gildin,1
leo_strauss,Leo Strauss,william_lecky,William Lecky,1
leo_strauss,Leo Strauss,parmenides,de Elea Parménides,1
leo_strauss,Leo Strauss,homero,Homero,1
leo_strauss,Leo Strauss,jean_bodin,Jean Bodin,1
leo_strauss,Leo Strauss,edmund_burke,Edmund Burke,1
leo_strauss,Leo Strauss,nicolas_condorcet,Nicolas Condorcet,1
leo_strauss,Leo Strauss,thomas_carlyle,Thomas Carlyle,1
leo_strauss,Leo Strauss,averroes,Averroes,3
leo_strauss,Leo Strauss,ernest_renan,Joseph Renan,1
leo_strauss,Leo Strauss,edelstein,Ludwig Edelstein,1
leo_strauss,Leo Strauss,gotthold_lessing,Gotthold Lessing,3
leo_strauss,Leo Strauss,schleiermacher,Friedrich Schleiermacher,1
leo_strauss,Leo Strauss,edward_gibbon,Edward Gibbon,2
leo_strauss,Leo Strauss,eusebio_de_cesarea,de Cesarea Eusebio,1
leo_strauss,Leo Strauss,james_shotwell,James Shotwell,1
leo_strauss,Leo Strauss,montesquieu,Charles-Louis Montesquieu,3
leo_strauss,Leo Strauss,laboulaye,Édouard Laboulaye,1
leo_strauss,Leo Strauss,george_sabine,George Sabine,1
leo_strauss,Leo Strauss,anaxagoras,Anaxágoras,1
leo_strauss,Leo Strauss,protagoras,Protágoras,1
leo_strauss,Leo Strauss,xenofon,Jenofonte,1
leo_strauss,Leo Strauss,avicena,Avicena,1
leo_strauss,Leo Strauss,maimonides,Maimónides,1
leo_strauss,Leo Strauss,grotius,Hugo Grotius,1
leo_strauss,Leo Strauss,rene_descartes,René Descartes,1
leo_strauss,Leo Strauss,john_locke,John Locke,1
leo_strauss,Leo Strauss,pierre_bayle,Pierre Bayle,1
leo_strauss,Leo Strauss,christian_wolff,Christian Wolff,1
leo_strauss,Leo Strauss,voltaire,Voltaire,1
leo_strauss,Leo Strauss,rousseau,Jean-Jacques Rousseau,1
leo_strauss,Leo Strauss,kant,Immanuel Kant,1
leo_strauss,Leo Strauss,tomas_moro,Tomás Moro,1
leo_strauss,Leo Strauss,alcibiades,Alcibíades,1
leon_bloy,Léon Bloy,raissa_umansof,Raïssa Oumançoff,1
leon_bloy,Léon Bloy,jesus,de Nazaret Jesús,54
leon_bloy,Léon Bloy,edouard_drumont,Édouard Drumont,4
leon_bloy,Léon Bloy,san_juan_persona,San Juan,2
leon_bloy,Léon Bloy,san_agustin,de Hipona Agustín,1
leon_bloy,Léon Bloy,san_pedro_persona,San Pedro,1
leon_bloy,Léon Bloy,midas,Midas,1
leon_bloy,Léon Bloy,shakespeare,William Shakespeare,1
leon_bloy,Léon Bloy,balzac,Honoré Balzac,1
leon_bloy,Léon Bloy,san_francisco_asis,de Asís Francisco,1
leon_bloy,Léon Bloy,ptolomeo,I Ptolomeo,1
leon_bloy,Léon Bloy,antioco,IV Antíoco,1
leon_bloy,Léon Bloy,felipe_augusto,II Felipe,1
leon_bloy,Léon Bloy,federico_barbarroja,I Federico,1
leon_bloy,Léon Bloy,pascal,Blaise Pascal,1
leon_bloy,Léon Bloy,san_lucas,San Lucas,1
leon_bloy,Léon Bloy,la_fontaine,Jean La Fontaine,1
leon_bloy,Léon Bloy,san_pablo_persona,de Tarso Pablo,1
leon_bloy,Léon Bloy,ernest_hello,Ernest Hello,1
eduardo_gruner,Eduardo Grüner,maurice_blanchot,Maurice Blanchot,4
eduardo_gruner,Eduardo Grüner,kafka,Franz Kafka,11
eduardo_gruner,Eduardo Grüner,james_joyce,James Joyce,6
eduardo_gruner,Eduardo Grüner,louis_ferdinand_celine,Louis-Ferdinand Céline,8
eduardo_gruner,Eduardo Grüner,samuel_beckett,Samuel Beckett,6
eduardo_gruner,Eduardo Grüner,william_faulkner,William Faulkner,3
eduardo_gruner,Eduardo Grüner,borges,Jorge Borges,22
eduardo_gruner,Eduardo Grüner,simonides,de Ceos Simónides,2
eduardo_gruner,Eduardo Grüner,horacio,Quinto Horacio,1
