id,name,node_type,birth_year,birth_place,in_degree,out_degree,betweenness,pagerank,eigenvector
borges,Jorge Borges,cited,1899.0,Argentina,16,0,0.0,0.002918,0.112968
georg_trakl,Georg Trakl,cited,1887.0,"Salzburgo, Austria",1,0,0.0,0.002403,0.046003
goethe,Johann Goethe,cited,1749.0,Sacro Imperio Romano Germánico (actual Alemania),5,0,0.0,0.002389,0.060226
arturo_carrera,Arturo Carrera,cited,1948.0,"Coronel Pringles, Argentina",2,0,0.0,0.002334,0.0
diana_bilmezis,Diana Bilmezis,cited,,,1,0,0.0,0.002324,0.033855
jesus,de Nazaret Jesús,cited,-4.0,Imperio Romano (Judea),7,0,0.0,0.002302,0.077806
macedonio_fernandez,Macedonio Fernández,cited,1874.0,Argentina,7,0,0.0,0.002228,0.054793
ruben_dario,Rubén Darío,cited,1867.0,Nicaragua,4,0,0.0,0.002129,0.017581
manuel_puig,Manuel Puig,cited,1932.0,"General Villegas, Argentina",4,0,0.0,0.002042,0.072374
franz_schubert,Franz Schubert,cited,1797.0,"Viena, Austria",2,0,0.0,0.001979,0.0
james_joyce,James Joyce,cited,1882.0,Irlanda,7,0,0.0,0.001963,0.00879
gustave_flaubert,Gustave Flaubert,cited,1821.0,Francia,6,0,0.0,0.001919,0.069016
osvaldo_rossler,Osvaldo Rossler,cited,,,7,0,0.0,0.001863,0.118401
silvina_ocampo,Silvina Ocampo,cited,1903.0,Argentina,2,0,0.0,0.001836,0.0
felisberto_hernandez,Felisberto Hernández,cited,1902.0,Uruguay,2,0,0.0,0.001781,0.0
catherine_yarrow,Catherine Yarrow,cited,1904.0,Inglaterra,1,0,0.0,0.00177,0.0
luis_gusman,Luis Gusmán,author,1944.0,Argentina,5,176,0.001878,0.001708,0.074449
holderlin,Johann Hölderlin,cited,1770.0,Ducado de Wurtemberg (actual Alemania),3,0,0.0,0.001687,0.056868
melville,Herman Melville,cited,1819.0,Estados Unidos,4,0,0.0,0.001661,0.014223
martin_heidegger,Martin Heidegger,author,1889.0,Imperio alemán (actual Alemania),5,7,7.6e-05,0.001641,0.074449
lewis_carroll,Lewis Carroll,cited,1832.0,"Daresbury, Cheshire, Reino Unido",1,0,0.0,0.001606,0.0
osman_lins,Osman Lins,cited,1924.0,"Vitória de Santo Antão, Brasil",1,0,0.0,0.001606,0.0
noemi_ulla,Noemí Ulla,cited,1941.0,"La Plata, Argentina",1,0,0.0,0.001606,0.0
marta_lynch,Marta Lynch,cited,1925.0,"Buenos Aires, Argentina",1,0,0.0,0.001606,0.0
philippe_aries,Philippe Ariès,cited,1914.0,"Blois, Francia",2,0,0.0,0.001598,0.0
joseph_conrad,Joseph Conrad,cited,1857.0,Imperio Ruso (actual Ucrania),9,0,0.0,0.001579,0.104177
kant,Immanuel Kant,cited,1724.0,Prusia (actual Rusia),9,0,0.0,0.001548,0.155613
virgilio_piniera,Virgilio Piñera,cited,1912.0,Cuba,3,0,0.0,0.001545,0.042645
