id,name,count
edouard_drumont,Édouard Drumont,70
leon_bloy,Léon Bloy,64
jesus,de Nazaret Jesús,63
rabelais,François Rabelais,56
emile_zola,Émile Zola,47
ruben_dario,Rubén Darío,44
silvina_ocampo,Silvina Ocampo,31
borges,Jorge Borges,27
felisberto_hernandez,Felisberto Hernández,21
catherine_yarrow,Catherine Yarrow,20
walter_scott,Walter Scott,18
balzac,Honoré Balzac,16
julian_martel,Julián Martel,10
james_joyce,James Joyce,9
kafka,Franz Kafka,8
maupassant,Guy Maupassant,7
karl_marx,Karl Marx,7
cabrera_infante,Guillermo Cabrera Infante,7
max_ernst,Max Ernst,7
samuel_beckett,Samuel Beckett,6
aristoteles,Aristóteles,6
baudelaire,Charles Baudelaire,6
hugo_wast,Hugo Wast,6
esteban_echeverria,Esteban Echeverría,6
paul_valery,Ambroise Valéry,5
louis_ferdinand_celine,Louis-Ferdinand Céline,5
platon,Platón,5
thomas_hobbes,Thomas Hobbes,5
schleiermacher,Friedrich Schleiermacher,5
pascal,Blaise Pascal,5
