person_a,person_b,id_a,id_b,co_citation_count
Jorge Borges,Friedrich Nietzsche,borges,friedrich_nietzsche,2
Osvaldo Rossler,José de San Martín,osvaldo_rossler,san_martin,1
Osvaldo Rossler,Julio Cortázar,osvaldo_rossler,julio_cortazar,1
Osvaldo Rossler,Rafael Alberto Arrieta,osvaldo_rossler,rafael_alberto_arrieta,1
Osvaldo Rossler,Mario Benjamín Menéndez,osvaldo_rossler,benjamin_menendez,1
Osvaldo Rossler,Ronald Reagan,osvaldo_rossler,ronald_reagan,1
Osvaldo Rossler,Juan Pablo II Wojtyła,osvaldo_rossler,juan_pablo_ii,1
Osvaldo Rossler,Alfredo Palacios,osvaldo_rossler,alfredo_palacios,1
Osvaldo Rossler,Jorge Borges,osvaldo_rossler,borges,1
Osvaldo Rossler,Ezequiel Martínez Estrada,osvaldo_rossler,martinez_estrada,1
Osvaldo Rossler,Paul Groussac,osvaldo_rossler,paul_groussac,1
Osvaldo Rossler,Eloísa,osvaldo_rossler,eloisa,1
Osvaldo Rossler,Nicanor Costa Méndez,osvaldo_rossler,costa_mendez,1
Osvaldo Rossler,Pedro Abelardo,osvaldo_rossler,pedro_abelardo,1
Osvaldo Rossler,Napoléon Bonaparte,osvaldo_rossler,napoleon,1
Osvaldo Rossler,Immanuel Kant,osvaldo_rossler,kant,1
Osvaldo Rossler,Leónidas I,osvaldo_rossler,leonidas,1
Osvaldo Rossler,Juan Domingo Perón,osvaldo_rossler,juan_domingo_peron,1
Osvaldo Rossler,Aristóteles,osvaldo_rossler,aristoteles,1
Osvaldo Rossler,Enrique Santos Discépolo,osvaldo_rossler,enrique_santos_discepolo,1
Osvaldo Rossler,Nicómaco,osvaldo_rossler,nicomaco,1
Osvaldo Rossler,Joseph Conrad,osvaldo_rossler,joseph_conrad,1
Osvaldo Rossler,Bernardo Neustadt,osvaldo_rossler,bernardo_neustadt,1
Osvaldo Rossler,Friedrich Nietzsche,osvaldo_rossler,friedrich_nietzsche,1
José de San Martín,Julio Cortázar,san_martin,julio_cortazar,1
José de San Martín,Rafael Alberto Arrieta,san_martin,rafael_alberto_arrieta,1
José de San Martín,Mario Benjamín Menéndez,san_martin,benjamin_menendez,1
José de San Martín,Ronald Reagan,san_martin,ronald_reagan,1
José de San Martín,Juan Pablo II Wojtyła,san_martin,juan_pablo_ii,1
José de San Martín,Alfredo Palacios,san_martin,alfredo_palacios,1
