country,count,median_birth_year
Argentina,40,1927.0
France,15,1854.0
Greece,6,-525.0
United Kingdom,6,1806.5
Germany,3,1749.0
Ireland,3,1865.0
United States,3,1911.0
Brazil,2,1922.5
Uruguay,2,1895.0
Italy,2,1406.5
Buenos Aires,2,1900.0
Spain,2,1889.0
Belgium,1,1914.0
"Iași, Rumania",1,1925.0
"Helsinki, Finlandia",1,1908.0
Czech Republic,1,1883.0
Esparta,1,-540.0
Colombia,1,1927.0
Austria,1,1797.0
Imperio Austrohúngaro,1,1875.0
Imperio Austríaco,1,1856.0
Peru,1,1903.0
Mexico,1,1914.0
Imperio Romano,1,-4.0
Imperio Ruso,1,1857.0
Switzerland,1,1875.0
Russia,1,1871.0
Poland,1,1920.0
Toulouse,1,1848.0
