id,name,birth_year,death_year,birth_place_raw,country,region,period,wikidata,lifespan
jorge_jinkis,Jorge Jinkis,1943.0,,Argentina,Argentina,Latin America,World Wars Era,,
friedrich_nietzsche,Friedrich Nietzsche,1844.0,1900.0,Prusia (actual Alemania),Germany,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q9358,56.0
leopoldo_lugones,Leopoldo Lugones,1874.0,1938.0,Argentina,Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q188875,64.0
paul_valery,Ambroise Valéry,1871.0,1945.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q200639,74.0
eduardo_gruner,Eduardo Grüner,1946.0,,Argentina,Argentina,Latin America,Contemporary,http://www.wikidata.org/entity/Q56582734,
maurice_blanchot,Maurice Blanchot,1907.0,2003.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q315210,96.0
kafka,Franz Kafka,1883.0,1924.0,"Praga, Imperio Austrohúngaro",Czech Republic,Eastern Europe,Long 19th Century,http://www.wikidata.org/entity/Q905,41.0
james_joyce,James Joyce,1882.0,1941.0,Irlanda,Ireland,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q6882,59.0
louis_ferdinand_celine,Louis-Ferdinand Céline,1894.0,1961.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q151820,67.0
borges,Jorge Borges,1899.0,1986.0,Argentina,Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q909,87.0
luis_gusman,Luis Gusmán,1944.0,,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q5679615,
mallarme,Stéphane Mallarmé,1842.0,1898.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q767,56.0
john_donne,John Donne,1572.0,1631.0,Inglaterra,United Kingdom,Western Europe,Renaissance,http://www.wikidata.org/entity/Q140412,59.0
aristoteles,Aristóteles,-384.0,-322.0,Grecia Antigua,Greece,Southern Europe / Classical,Classical Antiquity,http://www.wikidata.org/entity/Q868,62.0
parmenides,de Elea Parménides,-515.0,-450.0,Grecia Antigua (Magna Grecia),Greece,Southern Europe / Classical,Antiquity (Archaic),http://www.wikidata.org/entity/Q125551,65.0
homero,Homero,-750.0,-700.0,Grecia Antigua,Greece,Southern Europe / Classical,Antiquity (Archaic),http://www.wikidata.org/entity/Q6691,50.0
kant,Immanuel Kant,1724.0,1804.0,Prusia (actual Rusia),Germany,Western Europe,Early Modern,http://www.wikidata.org/entity/Q9312,80.0
jesus,de Nazaret Jesús,-4.0,30.0,Imperio Romano (Judea),Imperio Romano,Other/Unknown,Hellenistic/Roman,http://www.wikidata.org/entity/Q302,34.0
baudelaire,Charles Baudelaire,1821.0,1867.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q501,46.0
pascal,Blaise Pascal,1623.0,1662.0,Francia,France,Western Europe,Early Modern,http://www.wikidata.org/entity/Q1290,39.0
edgar_allan_poe,Edgar Poe,1809.0,1849.0,Estados Unidos,United States,North America,Revolutionary Era,http://www.wikidata.org/entity/Q16867,40.0
ana_barrenechea,Ana Barrenechea,1913.0,2007.0,Argentina,Argentina,Latin America,Long 19th Century,,94.0
roland_barthes,Roland Barthes,1915.0,1980.0,Francia,France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q179109,65.0
silvina_ocampo,Silvina Ocampo,1903.0,1993.0,Argentina,Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q442829,90.0
julio_cortazar,Julio Cortázar,1914.0,1984.0,Bélgica,Belgium,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q174210,70.0
garcia_marquez,Gabriel García Márquez,1927.0,2014.0,Colombia,Colombia,Latin America,World Wars Era,http://www.wikidata.org/entity/Q5878,87.0
freud,Sigmund Freud,1856.0,1939.0,Imperio Austríaco (actual República Checa),Imperio Austríaco,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q9215,83.0
marcel_proust,Marcel Proust,1871.0,1922.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q7199,51.0
roberto_echavarren,Roberto Echavarren,1944.0,,Uruguay,Uruguay,Latin America,World Wars Era,http://www.wikidata.org/entity/Q6109718,
ramon_alcalde,Ramón Alcalde,1951.0,2021.0,Argentina,Argentina,Latin America,Contemporary,http://www.wikidata.org/entity/Q75653349,70.0
ronald_reagan,Ronald Reagan,1911.0,2004.0,Estados Unidos,United States,North America,Long 19th Century,http://www.wikidata.org/entity/Q9960,93.0
dante_alighieri,Dante Alighieri,1265.0,1321.0,República de Florencia (actual Italia),Italy,Western Europe,Medieval,http://www.wikidata.org/entity/Q1067,56.0
stendhal,Stendhal,1783.0,1842.0,Francia,France,Western Europe,Early Modern,http://www.wikidata.org/entity/Q502,59.0
luis_chitarroni,Luis Chitarroni,1958.0,2023.0,Argentina,Argentina,Latin America,Contemporary,http://www.wikidata.org/entity/Q112121650,65.0
joseph_conrad,Joseph Conrad,1857.0,1924.0,Imperio Ruso (actual Ucrania),Imperio Ruso,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q82925,67.0
enrique_pezzoni,Enrique Pezzoni,1926.0,1989.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q10934058,63.0
sylvia_molloy,Sylvia Molloy,1938.0,2022.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q42904745,84.0
octavio_paz,Octavio Paz,1914.0,1998.0,México,Mexico,Latin America,World Wars Era,http://www.wikidata.org/entity/Q46739,84.0
goethe,Johann Goethe,1749.0,1832.0,Sacro Imperio Romano Germánico (actual Alemania),Germany,Western Europe,Early Modern,http://www.wikidata.org/entity/Q5879,83.0
rilke,Rainer Rilke,1875.0,1926.0,Imperio Austrohúngaro (actual República Checa),Imperio Austrohúngaro,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q76483,51.0
leonidas_lamborghini,Leónidas Lamborghini,1927.0,2009.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q918455,82.0
ricardo_zelarayan,Ricardo Zelarayán,1940.0,2010.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q6108561,70.0
osvaldo_lamborghini,Osvaldo Lamborghini,1940.0,1985.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q2036284,45.0
leonora_carrington,Leonora Carrington,1917.0,2011.0,Inglaterra,United Kingdom,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q233207,94.0
cesar_moro,César Moro,1903.0,1956.0,Perú,Peru,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q3010499,53.0
francisco_franco,Francisco Franco,1892.0,1975.0,España,Spain,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q29179,83.0
lautreamont,Comte Lautréamont,1846.0,1870.0,Uruguay,Uruguay,Latin America,Revolutionary Era,http://www.wikidata.org/entity/Q294181,24.0
victoria_ocampo,Victoria Ocampo,1890.0,1979.0,Argentina,Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q72790,89.0
hugo_savino,Hugo Savino,1945.0,,Argentina,Argentina,Latin America,Contemporary,,
paul_groussac,Paul Groussac,1848.0,1929.0,Toulouse,Toulouse,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q2550159,81.0
alfredo_palacios,Alfredo Palacios,1878.0,1965.0,Buenos Aires,Buenos Aires,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q2880118,87.0
juan_domingo_peron,Juan Domingo Perón,1895.0,1974.0,"Lobos, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q93330,79.0
costa_mendez,Nicanor Costa Méndez,1922.0,1992.0,Buenos Aires,Buenos Aires,Other/Unknown,World Wars Era,http://www.wikidata.org/entity/Q612155,70.0
benjamin_menendez,Mario Benjamín Menéndez,1930.0,2015.0,"Chañar Ladeado, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q196263,85.0
juan_pablo_ii,Juan Pablo II Wojtyła,1920.0,2005.0,"Wadowice, Polonia",Poland,Eastern Europe,World Wars Era,http://www.wikidata.org/entity/Q989,85.0
bernardo_neustadt,Bernardo Neustadt,1925.0,2008.0,"Iași, Rumania","Iași, Rumania",Other/Unknown,World Wars Era,http://www.wikidata.org/entity/Q5650772,83.0
leonidas,Leónidas I,-540.0,-480.0,Esparta,Esparta,Other/Unknown,Antiquity (Archaic),http://www.wikidata.org/entity/Q44228,60.0
san_martin,José de San Martín,1778.0,1850.0,"Yapeyú, Argentina",Argentina,Latin America,Early Modern,http://www.wikidata.org/entity/Q134160,72.0
martinez_estrada,Ezequiel Martínez Estrada,1895.0,1964.0,"San José de la Esquina, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q464737,69.0
napoleon,Napoléon Bonaparte,1769.0,1821.0,"Ajaccio, Córcega, Francia",France,Western Europe,Early Modern,http://www.wikidata.org/entity/Q517,52.0
enrique_santos_discepolo,Enrique Santos Discépolo,1901.0,1951.0,"Buenos Aires, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q765871,50.0
nicomaco,Nicómaco,-384.0,-322.0,"Estagira, Grecia",Greece,Southern Europe / Classical,Classical Antiquity,http://www.wikidata.org/entity/Q2217419,62.0
rafael_alberto_arrieta,Rafael Alberto Arrieta,1889.0,1968.0,"Rauch, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q1686070,79.0
pedro_abelardo,Pedro Abelardo,1079.0,1142.0,"Le Pallet, Francia",France,Western Europe,Medieval,http://www.wikidata.org/entity/Q4295,63.0
eloisa,Eloísa,1101.0,1164.0,"París, Francia",France,Western Europe,Medieval,http://www.wikidata.org/entity/Q5656,63.0
murilo_rubiao,Murilo Rubião,1916.0,1991.0,"Carmo de Minas, Brasil",Brazil,Latin America,World Wars Era,http://www.wikidata.org/entity/Q367095,75.0
ricardo_piglia,Ricardo Piglia,1940.0,2017.0,"Adrogué, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q583814,77.0
roberto_arlt,Roberto Arlt,1900.0,1942.0,"Buenos Aires, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q188838,42.0
diana_bellessi,Diana Bellessi,1946.0,,"Zavalla, Argentina",Argentina,Latin America,Contemporary,http://www.wikidata.org/entity/Q521986,
