bibl_id,title,author_name,author_ref,date_year,level,lang,citation_count
marmol_amalia,Amalia,"Mármol, José",jose_marmol,1855,m,,19
revista_sitio,Sitio,,,1981,j,,14
wilcock_caos,El caos,"Wilcock, Rodolfo",rodolfo_wilcock,1974,m,,12
gusman_corazon_junio,En el corazón de junio,"Gusmán, Luis",luis_gusman,1983,m,,11
revista_temps_modernes,Les Temps Modernes,,,1945,j,,7
flaubert_salambo,Salammbô,"Flaubert, Gustave",gustave_flaubert,1862,m,,7
angelino_recordando,Recordando en el viento,"Angelino, Diego",diego_angelino,1983,m,,6
antologia_lit_fant,Antología de la literatura fantástica,,,1940,m,,5
walser_ayudante,El ayudante,"Walser, Robert",robert_walser,1908,m,,5
walser_von_gunten,Jakob von Gunten,"Walser, Robert",robert_walser,1909,m,,5
revista_temps_modernes_420_421,"Argentine, entre populisme et militarisme",,,1981,m,,5
dumas_montevideo,Montevideo o la Nueva Troya,"Dumas, Alexandre",alejandro_dumas,1850,m,,5
diario_clarin,Clarín,,,1945,j,,4
diario_portenio,El Porteño,,,1982,j,,4
aimard_rosas,Rosas,"Aimard, Gustave",gustave_aimard,1867,m,,4
revista_sur,Sur,,,1931,j,,3
joyce_finnegans,Finnegans Wake,"Joyce, James",james_joyce,1939,m,,3
revista_humor,Humor Registrado,,,1978,j,,3
revista_contorno,Contorno,,,1953,j,,3
cortazar_rayuela,Rayuela,"Cortázar, Julio",julio_cortazar,1963,m,,3
moyano_navios,Libro de navíos y borrascas,"Moyano, Daniel",daniel_moyano,1983,m,,3
moyano_vuelo_tigre,El vuelo del tigre,"Moyano, Daniel",daniel_moyano,1981,m,,3
west_proteo,Proteo,"West, Morris",morris_west,1979,m,,3
hernandez_martin_fierro,El Gaucho Martín Fierro,"Hernández, José",jose_hernandez,1872,m,,3
lins_avalovara,Avalovara,"Lins, Osman",osman_lins,1973,m,,3
flaubert_corazon_simple,Un corazón simple,"Flaubert, Gustave",gustave_flaubert,1877,m,,3
soriano_cuarteles,Cuarteles de invierno,"Soriano, Osvaldo",osvaldo_soriano,1980,m,,3
aries_muerte,La muerte en Occidente,"Ariès, Philippe",philippe_aries,1975,m,,3
revista_ficcion,Ficción,,,1956,j,,2
sitio_entredicho_2,sitio_entredicho_2,,,,,,2
aimard_mas_horca,La Mas-Horca,"Aimard, Gustave",gustave_aimard,1867,m,,2
sartre_critica_razon,Crítica de la razón dialéctica,"Sartre, Jean-Paul",jean_paul_sartre,1960,m,,2
sarmiento_facundo,Facundo: Civilización y Barbarie,"Sarmiento, Domingo Faustino",sarmiento,1845,m,,2
alberdi_bases,Bases y puntos de partida para la organización política de la República Argentina,"Alberdi, Juan Bautista",juan_bautista_alberdi,1852,m,,2
revista_poetique,Poétique,,,1970,j,fr,2
lynch_informe,Informe bajo llave,"Lynch, Marta",marta_lynch,1983,m,,2
hawthorne_wakefield,Wakefield,"Hawthorne, Nathaniel",nathaniel_hawthorne,1835,a,,2
conrad_corazon_tinieblas,Heart of Darkness,"Conrad, Joseph",joseph_conrad,1899,m,en,2
dostoyevski_corazon,Un corazón débil,"Dostoievski, Fiódor",fiodor_dostoyevski,1848,m,,2
joyce_ulises,Ulysses,"Joyce, James",james_joyce,1922,m,en,2
euripides_troyanas,Las troyanas,Eurípides,euripides,-415,m,,2
sartre_troyanas,Les Troyennes,"Sartre, Jean-Paul",jean_paul_sartre,1965,m,,2
arbasino_superheliogabalo,Super-Eliogabalo,"Arbasino, Alberto",alberto_arbasino,1969,m,,1
thomas_24years,Twenty-four years,"Thomas, Dylan",dylan_thomas,1938,a,,1
nabokov_lolita,Lolita,"Nabokov, Vladimir",vladimir_nabokov,1955,m,,1
wilcock_ingegnere,L'ingegnere,"Wilcock, Rodolfo",rodolfo_wilcock,1975,m,,1
milton_samson,Samson Agonistes,"Milton, John",john_milton,1671,m,,1
borges_kafka_precursores,Kafka y sus precursores,"Borges, Jorge Luis",borges,1951,a,,1
rousseau_emilio,"Emilio, o De la educación","Rousseau, Jean-Jacques",rousseau,1762,m,,1
tolstoi_amo_criado,El amo y el criado,"Tolstói, León",lev_tolstoi,1895,m,,1
goncharov_oblomov,Oblomov,"Goncharov, Iván",ivan_goncharov,1859,m,,1
calasso_suenio,El sueño del calígrafo,"Calasso, Roberto",roberto_calasso,1991,a,,1
