bibl_id,title,author_name,author_ref,date_year,level,lang,citation_count
puig_traicion,La traición de Rita Hayworth,"Puig, Manuel",manuel_puig,1968,m,,27
hernandez_menos_julia,Menos Julia,"Hernández, Felisberto",felisberto_hernandez,1947,m,,16
hernandez_hortensias,Las hortensias,"Hernández, Felisberto",felisberto_hernandez,1949,m,,13
puig_maldicion,Maldición eterna a quien lea estas páginas,"Puig, Manuel",manuel_puig,1980,m,,13
sartre_idiota,El idiota de la familia,"Sartre, Jean-Paul",jean_paul_sartre,1971,m,,9
revista_sitio,Sitio,,,1981,j,,6
hernandez_acomodador,El acomodador,Felisberto Hernández,felisberto_hernandez,1947,a,,6
puig_beso,El beso de la mujer araña,"Puig, Manuel",manuel_puig,1976,m,,6
revista_pie_de_pagina,Pie de página,,,1982,j,,4
melville_moby_dick,Moby-Dick,"Melville, Herman",melville,1851,m,,4
joyce_finnegans,Finnegans Wake,"Joyce, James",james_joyce,1939,m,,4
dabove_ser_polvo,Ser polvo,Santiago Dabove,santiago_dabove,1945,m,,4
hernandez_obras_completas,Obras completas,"Hernández, Felisberto",felisberto_hernandez,1983,m,,4
correas_reportajes,Los reportajes de Félix Chaneton,"Correas, Carlos",carlos_correas,1984,m,,3
maupassant_horla,Le Horla,"Maupassant, Guy de",maupassant,1887,m,,2
borges_pierre_menard,"Pierre Menard, autor del Quijote","Borges, Jorge Luis",borges,1939,a,,2
barthes_plaisir_texte,Le Plaisir du texte,"Barthes, Roland",roland_barthes,1973,m,fr,2
beckford_vathek,Vathek,"Beckford, William",william_beckford,1786,m,,2
mansilla_entre_nos,Entre nos: Causeries del jueves,"Mansilla, Lucio V.",lucio_mansilla,1889,m,,2
revista_contorno,Contorno,,,1953,j,,2
sarmiento_facundo,Facundo: Civilización y Barbarie,"Sarmiento, Domingo Faustino",sarmiento,1845,m,,2
arlt_africa,Crónicas de África,"Arlt, Roberto",roberto_arlt,1935,m,,2
arlt_desierto_ciudad,El desierto entra en la ciudad,"Arlt, Roberto",roberto_arlt,1952,m,,2
arlt_siete_locos,Los siete locos,"Arlt, Roberto",roberto_arlt,1929,m,,2
carroll_alicia,Alicia en el país de las maravillas,"Carroll, Lewis",lewis_carroll,1865,m,,2
sartre_ser_nada,El ser y la nada,Jean-Paul Sartre,jean_paul_sartre,1943,m,,2
barthes_fragmentos,Fragments d'un discours amoureux,"Barthes, Roland",roland_barthes,1977,m,fr,2
lugones_limadurasii,Las limaduras de Hephaestos II. Prometeo (Un proscripto del sol),"Lugones, Leopoldo",leopoldo_lugones,1910,m,,2
praz_carne_muerte,"La carne, la muerte y el diablo en la literatura romántica","Praz, Mario",mario_praz,1930,m,,2
bataille_erotismo,El erotismo,"Bataille, Georges",georges_bataille,1964,m,,2
puig_pubis,Pubis angelical,"Puig, Manuel",manuel_puig,1979,m,,2
kafka_metamorfosis,La metamorfosis,"Kafka, Franz",kafka,1915,m,,1
marmol_amalia,Amalia,"Mármol, José",jose_marmol,1855,m,,1
maupassant_bel_ami,Bel-Ami,"Maupassant, Guy de",maupassant,1885,m,,1
olivari_mosca,La mosca verde,"Olivari, Nicolás",nicolas_olivari,1924,a,,1
borges_sobre_vathek,"Sobre el ""Vathek"" de William Beckford","Borges, Jorge Luis",borges,1943,a,,1
gombrowicz_hechizados,Los hechizados,"Gombrowicz, Witold",witold_gombrowicz,1939,m,,1
byron_childe,Childe Harold's Pilgrimage,"Byron, Lord",lord_byron,1812,m,,1
vinias_escritor_gentleman,vinias_escritor_gentleman,,,,,,1
estrada_viaje_nilo,El viaje al Nilo,"Martínez Estrada, Ezequiel",martinez_estrada,1933,m,,1
deleuze_mille_plateaux,Mille Plateaux,"Deleuze, Gilles",gilles_deleuze,1980,m,fr,1
sartre_san_genet,"Saint Genet, comédien et martyr","Sartre, Jean-Paul",jean_paul_sartre,1952,m,,1
arlt_criador_gorilas,El criador de gorilas,"Arlt, Roberto",roberto_arlt,1941,m,,1
arlt_rahutia,Rahutia la bailarina,"Arlt, Roberto",roberto_arlt,1941,a,,1
arlt_aguafuertes_espaniolas,Aguafuertes españolas,"Arlt, Roberto",roberto_arlt,1936,m,,1
arlt_aguafuertes_portenias,Aguafuertes porteñas,"Arlt, Roberto",roberto_arlt,1933,m,,1
genet_journal,Journal du voleur,"Genet, Jean",jean_genet,1949,m,fr,1
revista_sur,Sur,,,1931,j,,1
stendhal_cartuja,La Chartreuse de Parme,Stendhal,stendhal,1839,m,fr,1
conrad_corazon_tinieblas,Heart of Darkness,"Conrad, Joseph",joseph_conrad,1899,m,en,1
maupassant_bola_sebo,Boule de Suif,"Maupassant, Guy de",maupassant,1880,a,fr,1
euclides_elementos,Elementos,Euclides,euclides,,m,,1
echeverria_matadero,El matadero,"Echeverría, Esteban",esteban_echeverria,,m,,1
punch_judy,Punch and Judy,,,,m,,1
soto_parral,La del Soto del Parral,,,1927,m,,1
bella_helena,La Bella Helena (La Belle Hélène),,,1864,m,,1
princesa_czardas,La Princesa de las Czardas (Die Csárdásfürstin),,,1915,m,,1
gombrowicz_ferdydurke,Ferdydurke,"Gombrowicz, Witold",witold_gombrowicz,1937,m,,1
astrada_mito_gaucho,El mito gaucho,"Astrada, Carlos",carlos_astrada,1948,m,,1
astrada_esfinge_sombra,La esfinge de la sombra,"Astrada, Carlos",carlos_astrada,1924,m,,1
astrada_juego_metafisico,El juego metafísico,"Astrada, Carlos",carlos_astrada,1942,m,,1
astrada_revolucion,La revolución existencialista,"Astrada, Carlos",carlos_astrada,1952,m,,1
borges_nueva_refutacion_tiempo,Nueva refutación del tiempo,"Borges, Jorge Luis",borges,1947,a,,1
mutt_jeff,Mutt and Jeff,Bud Fisher,bud_fisher,1907,m,,1
poe_cuervo,El cuervo,Edgar Allan Poe,edgar_allan_poe,1845,m,,1
rimbaud_barco_ebrio,El barco ebrio,Arthur Rimbaud,rimbaud,1871,m,,1
carroll_alicia_espejo,Alicia a través del espejo,"Carroll, Lewis",lewis_carroll,1871,m,,1
