id,name,type,country,region,period,birth_year,in_degree,out_degree
ramon_alcalde,Ramón Alcalde,author,Argentina,Latin America,Contemporary,1951.0,0,72
abelardo_castillo,Abelardo Castillo,cited,Argentina,Latin America,World Wars Era,1935.0,4,0
eduardo_gruner,Eduardo Grüner,author,Argentina,Latin America,Contemporary,1946.0,0,118
luis_gusman,Luis Gusmán,author,Argentina,Latin America,World Wars Era,1944.0,2,78
jorge_jinkis,Jorge Jinkis,author,Argentina,Latin America,World Wars Era,1943.0,0,45
oswald_spengler,Oswald Spengler,cited,Germany,Western Europe,Long 19th Century,1880.0,4,0
federico_sainz_de_robles,Federico Carlos Sainz de Robles,cited,Spain,Western Europe,Long 19th Century,1898.0,4,0
esteban_echeverria,Esteban Echeverría,cited,Virreinato del Río de la Plata,Other/Unknown,Revolutionary Era,1805.0,4,0
sarmiento,Domingo Faustino Sarmiento,cited,Argentina,Latin America,Revolutionary Era,1811.0,5,0
juan_bautista_alberdi,Juan Bautista Alberdi,cited,Argentina,Latin America,Revolutionary Era,1810.0,4,0
leopoldo_lugones,Leopoldo Lugones,cited,Argentina,Latin America,Long 19th Century,1874.0,6,0
manuel_galvez,Manuel Gálvez,cited,Argentina,Latin America,Long 19th Century,1882.0,4,0
martinez_estrada,Ezequiel Martínez Estrada,cited,Argentina,Latin America,Long 19th Century,1895.0,4,0
canal_feijoo,Bernardo Canal Feijóo,cited,Argentina,Latin America,Long 19th Century,1897.0,5,0
hector_murena,Héctor Murena,cited,Argentina,Latin America,World Wars Era,1923.0,4,0
carlos_astrada,Carlos Astrada,cited,Argentina,Latin America,Long 19th Century,1894.0,5,0
jose_luis_romero,José Luis Romero,cited,Argentina,Latin America,Long 19th Century,1909.0,4,0
luis_franco,Luis Franco,cited,Argentina,Latin America,Long 19th Century,1898.0,4,0
raul_scalabrini_ortiz,Raúl Scalabrini Ortiz,cited,Argentina,Latin America,Long 19th Century,1898.0,4,0
arturo_jauretche,Arturo Jauretche,cited,Argentina,Latin America,Long 19th Century,1901.0,4,0
david_vinias,David Viñas,cited,Argentina,Latin America,World Wars Era,1927.0,5,0
oscar_masotta,Óscar Masotta,cited,Argentina,Latin America,World Wars Era,1930.0,4,0
juan_jose_sebreli,Juan José Sebreli,cited,Argentina,Latin America,World Wars Era,1930.0,4,0
