person_a,person_b,id_a,id_b,co_citation_count
Fiódor Dostoyevski,David Viñas,fiodor_dostoyevski,david_vinias,2
Fiódor Dostoyevski,Bernardo Canal Feijóo,fiodor_dostoyevski,canal_feijoo,2
Fiódor Dostoyevski,Héctor Cámpora,fiodor_dostoyevski,hector_campora,2
Fiódor Dostoyevski,Óscar Masotta,fiodor_dostoyevski,oscar_masotta,2
Fiódor Dostoyevski,Raúl Scalabrini Ortiz,fiodor_dostoyevski,raul_scalabrini_ortiz,2
Fiódor Dostoyevski,Claude Lévi-Strauss,fiodor_dostoyevski,levi_strauss,2
Fiódor Dostoyevski,Jorge Borges,fiodor_dostoyevski,borges,2
Fiódor Dostoyevski,Jean-Paul Sartre,fiodor_dostoyevski,jean_paul_sartre,2
Fiódor Dostoyevski,Carlos Astrada,fiodor_dostoyevski,carlos_astrada,2
Fiódor Dostoyevski,Ezequiel Martínez Estrada,fiodor_dostoyevski,martinez_estrada,2
Fiódor Dostoyevski,Leopoldo Lugones,fiodor_dostoyevski,leopoldo_lugones,2
Fiódor Dostoyevski,Roberto Arlt,fiodor_dostoyevski,roberto_arlt,2
Fiódor Dostoyevski,Domingo Faustino Sarmiento,fiodor_dostoyevski,sarmiento,2
Fiódor Dostoyevski,Ángel Rama,fiodor_dostoyevski,angel_rama,2
Fiódor Dostoyevski,Roland Barthes,fiodor_dostoyevski,roland_barthes,2
Fiódor Dostoyevski,Louis Althusser,fiodor_dostoyevski,louis_althusser,2
Fiódor Dostoyevski,Friedrich Nietzsche,fiodor_dostoyevski,friedrich_nietzsche,2
David Viñas,Bernardo Canal Feijóo,david_vinias,canal_feijoo,2
David Viñas,Héctor Cámpora,david_vinias,hector_campora,2
David Viñas,Óscar Masotta,david_vinias,oscar_masotta,2
David Viñas,Raúl Scalabrini Ortiz,david_vinias,raul_scalabrini_ortiz,2
David Viñas,Claude Lévi-Strauss,david_vinias,levi_strauss,2
David Viñas,Jorge Borges,david_vinias,borges,2
David Viñas,Jean-Paul Sartre,david_vinias,jean_paul_sartre,2
David Viñas,Carlos Astrada,david_vinias,carlos_astrada,2
David Viñas,Ezequiel Martínez Estrada,david_vinias,martinez_estrada,2
David Viñas,Leopoldo Lugones,david_vinias,leopoldo_lugones,2
David Viñas,Roberto Arlt,david_vinias,roberto_arlt,2
David Viñas,Domingo Faustino Sarmiento,david_vinias,sarmiento,2
David Viñas,Ángel Rama,david_vinias,angel_rama,2
