id,name,count
jean_paul_sartre,Jean-Paul Sartre,51
gustave_flaubert,Gustave Flaubert,41
macedonio_fernandez,Macedonio Fernández,40
leopoldo_lugones,Leopoldo Lugones,33
borges,Jorge Borges,32
carlos_correas,Carlos Correas,25
roberto_arlt,Roberto Arlt,23
santiago_dabove,Santiago Dabove,14
david_vinias,David Viñas,12
roland_barthes,Roland Barthes,12
spinoza,Baruch Spinoza,12
manuel_puig,Manuel Puig,12
sarmiento,Domingo Faustino Sarmiento,11
friedrich_nietzsche,Friedrich Nietzsche,11
mario_vargas_llosa,Mario Vargas Llosa,10
felisberto_hernandez,Felisberto Hernández,10
ruben_dario,Rubén Darío,10
melville,Herman Melville,9
bajtin,Mijaíl Bajtín,9
giovanni_morelli,Giovanni Morelli,9
carlos_astrada,Carlos Astrada,8
kafka,Franz Kafka,8
mallarme,Stéphane Mallarmé,8
ana_barrenechea,Ana Barrenechea,7
canal_feijoo,Bernardo Canal Feijóo,6
oscar_masotta,Óscar Masotta,6
hector_campora,Héctor Cámpora,6
michel_foucault,Michel Foucault,6
maurice_blanchot,Maurice Blanchot,6
jean_genet,Jean Genet,6
