id,name,node_type,birth_year,birth_place,in_degree,out_degree,betweenness,pagerank,eigenvector
diana_bilmezis,Diana Bilmezis,cited,,,1,0,0.0,0.007574,0.001049
macedonio_fernandez,Macedonio Fernández,cited,1874.0,Argentina,4,0,0.0,0.007144,0.002103
manuel_puig,Manuel Puig,cited,1932.0,"General Villegas, Argentina",1,0,0.0,0.006528,3e-06
felisberto_hernandez,Felisberto Hernández,cited,1902.0,Uruguay,1,0,0.0,0.006248,3e-06
santiago_dabove,Santiago Dabove,cited,1889.0,"Morón, Argentina",1,0,0.0,0.005598,3e-06
leopoldo_lugones,Leopoldo Lugones,cited,1874.0,Argentina,6,0,0.0,0.005399,0.002109
martin_heidegger,Martin Heidegger,cited,1889.0,Imperio alemán (actual Alemania),2,0,0.0,0.005335,0.499913
borges,Jorge Borges,cited,1899.0,Argentina,7,0,0.0,0.00532,0.002112
holderlin,Johann Hölderlin,cited,1770.0,Ducado de Wurtemberg (actual Alemania),1,0,0.0,0.005269,0.49991
lewis_carroll,Lewis Carroll,cited,1832.0,"Daresbury, Cheshire, Reino Unido",1,0,0.0,0.005236,3e-06
james_joyce,James Joyce,cited,1882.0,Irlanda,1,0,0.0,0.005044,3e-06
jean_paul_sartre,Jean-Paul Sartre,cited,1905.0,Francia,4,0,0.0,0.004885,0.002103
carlos_correas,Carlos Correas,cited,1931.0,"Buenos Aires, Argentina",1,0,0.0,0.004821,3e-06
kant,Immanuel Kant,cited,1724.0,Prusia (actual Rusia),3,0,0.0,0.00482,0.499916
roberto_arlt,Roberto Arlt,cited,1900.0,"Buenos Aires, Argentina",4,0,0.0,0.004769,0.002103
paul_valery,Ambroise Valéry,cited,1871.0,Francia,3,0,0.0,0.004765,0.499916
roland_barthes,Roland Barthes,cited,1915.0,Francia,6,0,0.0,0.004676,0.002109
gustave_flaubert,Gustave Flaubert,cited,1821.0,Francia,2,0,0.0,0.004633,0.002098
ana_barrenechea,Ana Barrenechea,cited,1913.0,Argentina,1,0,0.0,0.004632,3e-06
ernst_junger,Ernst Jünger,cited,1895.0,"Heidelberg, Alemania",1,0,0.0,0.004622,3e-06
melville,Herman Melville,cited,1819.0,Estados Unidos,2,0,0.0,0.004553,6e-06
shakespeare,William Shakespeare,cited,1564.0,Inglaterra,3,0,0.0,0.004545,9e-06
samuel_beckett,Samuel Beckett,cited,1906.0,Irlanda,2,0,0.0,0.004491,6e-06
carlos_astrada,Carlos Astrada,cited,1894.0,"Córdoba, Argentina",5,0,0.0,0.00448,0.002106
spinoza,Baruch Spinoza,cited,1632.0,República de los Países Bajos,4,0,0.0,0.00448,0.002103
friedrich_nietzsche,Friedrich Nietzsche,cited,1844.0,Prusia (actual Alemania),5,0,0.0,0.004473,0.002106
ruben_dario,Rubén Darío,cited,1867.0,Nicaragua,1,0,0.0,0.00447,3e-06
sarmiento,Domingo Faustino Sarmiento,cited,1811.0,"San Juan, Argentina",5,0,0.0,0.004464,0.002106
bajtin,Mijaíl Bajtín,cited,1895.0,"Oriol, Imperio Ruso",3,0,0.0,0.004437,9e-06
david_vinias,David Viñas,cited,1927.0,"Buenos Aires, Argentina",5,0,0.0,0.004436,0.002106
angel_rama,Ángel Rama,cited,1926.0,"Montevideo, Uruguay",5,0,0.0,0.004417,0.002106
david_hume,David Hume,cited,1711.0,"Edimburgo, Escocia",1,0,0.0,0.004414,3e-06
michel_foucault,Michel Foucault,cited,1926.0,Francia,2,0,0.0,0.00436,6e-06
george_berkeley,George Berkeley,cited,1685.0,"Kilkenny, Irlanda",1,0,0.0,0.004347,3e-06
georges_bataille,Georges Bataille,cited,1897.0,Francia,1,0,0.0,0.004314,3e-06
franz_schubert,Franz Schubert,cited,1797.0,"Viena, Austria",1,0,0.0,0.004297,3e-06
john_keats,John Keats,cited,1795.0,"Londres, Inglaterra",1,0,0.0,0.004297,3e-06
josefina_ludmer,Josefina Ludmer,cited,1939.0,"San Francisco, Córdoba, Argentina",1,0,0.0,0.004297,3e-06
nikolai_gogol,Nikolai Gogol,cited,1809.0,"Sorochyntsi, Ucrania",1,0,0.0,0.004297,3e-06
arcimboldo,Giuseppe Arcimboldo,cited,1526.0,Ducado de Milán (actual Italia),1,0,0.0,0.004297,3e-06
walter_gieseking,Walter Gieseking,cited,1895.0,"Lyon, Francia",1,0,0.0,0.004297,3e-06
canal_feijoo,Bernardo Canal Feijóo,cited,1897.0,"Santiago del Estero, Argentina",5,0,0.0,0.004291,0.002106
rita_hayworth,Rita Hayworth,cited,1918.0,"Brooklyn, Estados Unidos",1,0,0.0,0.004284,3e-06
ricardo_piglia,Ricardo Piglia,cited,1940.0,"Adrogué, Argentina",1,0,0.0,0.004284,3e-06
tyrone_power,Tyrone Power,cited,1914.0,"Cincinnati, Estados Unidos",1,0,0.0,0.004284,3e-06
hector_campora,Héctor Cámpora,cited,1909.0,"Mercedes, Argentina",4,0,0.0,0.004273,0.002103
brian_boru,Brian Boru,cited,941.0,"Killaloe, Irlanda",1,0,0.0,0.004273,3e-06
mallarme,Stéphane Mallarmé,cited,1842.0,Francia,2,0,0.0,0.004272,0.002098
hegel,Georg Wilhelm Friedrich Hegel,cited,1770.0,"Stuttgart, Alemania",2,0,0.0,0.004251,6e-06
oscar_masotta,Óscar Masotta,cited,1930.0,Argentina,4,0,0.0,0.004251,0.002103
raul_scalabrini_ortiz,Raúl Scalabrini Ortiz,cited,1898.0,"Corrientes, Argentina",4,0,0.0,0.004243,0.002103
jean_genet,Jean Genet,cited,1910.0,"París, Francia",2,0,0.0,0.004241,6e-06
karl_marx,Karl Marx,cited,1818.0,Prusia (actual Alemania),2,0,0.0,0.004239,6e-06
martinez_estrada,Ezequiel Martínez Estrada,cited,1895.0,"San José de la Esquina, Argentina",4,0,0.0,0.004239,0.002103
edgar_allan_poe,Edgar Poe,cited,1809.0,Estados Unidos,3,0,0.0,0.004227,0.0021
fiodor_dostoyevski,Fiódor Dostoyevski,cited,1821.0,"Moscú, Imperio Ruso",4,0,0.0,0.004226,0.002103
louis_althusser,Louis Althusser,cited,1918.0,Argelia Francesa,4,0,0.0,0.004226,0.002103
levi_strauss,Claude Lévi-Strauss,cited,1908.0,"Bruselas, Bélgica",4,0,0.0,0.004226,0.002103
georg_lichtenberg,Georg Christoph Lichtenberg,cited,1742.0,"Ober-Ramstadt, Alemania",1,0,0.0,0.004214,3e-06
jacques_derrida,Jacques Derrida,cited,1930.0,"El Biar, Argelia",4,0,0.0,0.004213,0.002103
hector_murena,Héctor Murena,cited,1923.0,"Buenos Aires, Argentina",4,0,0.0,0.004213,0.002103
julia_kristeva,Julia Kristeva,cited,1941.0,"Sliven, Bulgaria",4,0,0.0,0.004213,0.002103
juan_jose_hernandez_arregui,Juan José Hernández Arregui,cited,1913.0,"Pergamino, Argentina",4,0,0.0,0.004213,0.002103
federico_sainz_de_robles,Federico Carlos Sainz de Robles,cited,1898.0,"Madrid, España",4,0,0.0,0.004213,0.002103
oswald_spengler,Oswald Spengler,cited,1880.0,"Blankenburg, Alemania",4,0,0.0,0.004213,0.002103
juan_bautista_alberdi,Juan Bautista Alberdi,cited,1810.0,"San Miguel de Tucumán, Argentina",4,0,0.0,0.004213,0.002103
abelardo_castillo,Abelardo Castillo,cited,1935.0,"Buenos Aires, Argentina",4,0,0.0,0.004213,0.002103
ignacio_anzoategui,Ignacio Anzoátegui,cited,1905.0,"Buenos Aires, Argentina",4,0,0.0,0.004213,0.002103
leonardo_castellani,Leonardo Castellani,cited,1899.0,"Reconquista, Argentina",4,0,0.0,0.004213,0.002103
juan_jose_sebreli,Juan José Sebreli,cited,1930.0,"Buenos Aires, Argentina",4,0,0.0,0.004213,0.002103
esteban_echeverria,Esteban Echeverría,cited,1805.0,Virreinato del Río de la Plata,4,0,0.0,0.004213,0.002103
jose_luis_romero,José Luis Romero,cited,1909.0,"Buenos Aires, Argentina",4,0,0.0,0.004213,0.002103
luis_franco,Luis Franco,cited,1898.0,"Belén, Argentina",4,0,0.0,0.004213,0.002103
manuel_galvez,Manuel Gálvez,cited,1882.0,"Santa Fe, Argentina",4,0,0.0,0.004213,0.002103
milciades_penia,Milcíades Peña,cited,1933.0,"La Plata, Argentina",4,0,0.0,0.004213,0.002103
abelardo_ramos,Jorge Abelardo Ramos,cited,1921.0,"Buenos Aires, Argentina",4,0,0.0,0.004213,0.002103
pierre_chaunu,Pierre Chaunu,cited,1923.0,"Belleville-sur-Meuse, Francia",4,0,0.0,0.004213,0.002103
arturo_jauretche,Arturo Jauretche,cited,1901.0,"Lincoln, Argentina",4,0,0.0,0.004213,0.002103
raul_alfonsin,Raúl Alfonsín,cited,1927.0,"Chascomús, Argentina",4,0,0.0,0.004213,0.002103
juan_domingo_peron,Juan Domingo Perón,cited,1895.0,"Lobos, Argentina",4,0,0.0,0.004213,0.002103
arturo_frondizi,Arturo Frondizi,cited,1908.0,"Paso de los Libres, Argentina",4,0,0.0,0.004213,0.002103
